"","x"
"453","   An exclusive picture of  Modi wave right now     Results2018   RajasthanElections   MPElections2018     "
"454","    Modi Ji you have left me defenceless I don t know what to say to your enemies             "
"455"," Modi gave birthday gift to  soniaGandhi by losing 5states                                         AssemblyElection2018  Results2018  ElectionResults2018   MadhyaPradesh"
"456","After Dr urjit patel  now the surjit bhalla has resigned  that is a serious issue  i guess  and after listened Dr m  "
"457","    Modi Ji you have left me defenceless I don t know what to say to your enemies             "
"458","Its not a Wake Up Call for  BJP  it is a Wake Up Call for Corrupt Citizens  amp  Voters of  Bharat                          who living on Cor  "
"459","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"460","   Name change alert  now it is called Reserve Bunk of India  Congratulations Mr  Modi "
"461","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"462","Ek haath me Turan ek haath me computar  sabkasaathsabkavikas vote for congress  Modi ji during a rally"
"463","  LOSERS     Tata  BJP  It s over for the lying party of  India    Modi can now travel full time "
"464"," congress winning  I am waiting what will  Modi say now on TV  I am guessing he will take a flight out to few more  "
"465","May national interest always prevail over party considerations     Modi  WinterSession "
"466","These trends at the north zone clearly states that there is downfall in Modi Wave and people are voting for Cong  B  "
"467","Need a  vasundhara mukt  rajasthan  marwad       Happy to see the results in favour of  congress which might show  "
"468","    Modi Ji you have left me defenceless I don t know what to say to your enemies             "
"469"," Who s next   Modi s"
"470","    90  beneficiaries of     Free Aawas  shauchalay  gas  mediclaim is Muslim   Dalit        who gives gaali to  "
"471","Imagine when once called yes man of  modi  UrjitPatel  RBIGovernor steps down how bad the things are going  The man  "
"472","So  CongressMukthBharath is also a failure from  Modi government   AssemblyElections2018  Results2018 "
"473","    Modi Ji you have left me defenceless I don t know what to say to your enemies             "
"474","moral victory for  Modi                           Results2018"
"475","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"476","Todays election result are Wake Up Call for BJP   Modi Ji   Results2018  AssemblyElections2018"
"477","OMG  Nehru is again hindering  Modi and  BJP in Rajasthan  Chhattisgarh  amp  MP   Results2018"
"478","   India can t be free from  Congress as          is the identity of India With out Congress w  "
"479","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"480"," Modi s  failure this time   NoEVMhack this time   Democracy wins this time "
"481","   OMG  Nehru is again troubling  Modi and  BJP in Rajasthan  Chhattisgarh  amp  MP "
"482"," Modi Ji you have left me defenceless I don t know what to say to your enemies             "
"483"," Mr  Modi first you obey your words  then ask MPs to follow  You were always out of the country during your last 4 5 years period"
"484","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"485","One thing is certain  it s not a win for  Congress  INC   this vote is against  BJP  amp   Modi policies  only man who  "
"486","OMG  Nehru is again troubling  Modi and  BJP in Rajasthan  Chhattisgarh  amp  MP "
"487"," modi s future on the line"
"488","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"489","Beginning of the End of the  Modi government  AssemblyElections2018"
"490","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"491","So the fact remains same  if you can cover all the temples in a state you can win  You can win and called a leader   "
"492","    PM  Modi who talks all the time about opposition mukt  Bharat is now holding a press briefing asking for  DEBATE  amp   CO OP "
"493","   May  wins  So it will remind  that there is DEMOCRACY in INDIA     Results2018  AssemblyElection201 "
"494","Everybody know               Modi "
"495","After today s election results    UrijitPatel turns out to be the smartest man in  India   VijayMallya   Election2018   modi  bjp"
"496","   Bhakts on switching on their TV will be lije  Results2018  ElectionResults2018  Modi  RajasthanAssemblyelection2018  Madh "
"497","Same people said that  Modi wave is over after Bihar elections  Don t believe them  Modi again in 2019  AssemblyElections2018"
"498","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"499","Saddend that 4 major states choosen corruption over development      ChhattisgarhElections2018  RESULT2018  "
"500","     governor  UrjitPatel s resignation a day before Parliament s winter session comes as a shot in the arm for  Congre "
"501","Hope  n  take a lesson not to depend on  YogiAdityanath n others as a  star  Campaigner in fu  "
"502","Hey bhakts and trolls  here s a look at ur  modi wave    Have a good day              "
"503","   PM  Modi had announced that he would provide Electricity for All   Now that the deadline is near  amp  no work has been done  "
"504","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"505","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"506","Hard to believe it might happen under this crony capitalist govt  In Big Win For  Modi Government  British Court Ru  "
"507","    PM  Modi who talks all the time about opposition mukt  Bharat is now holding a press briefing asking for  DEBATE  amp   CO OP "
"508"," finally emerged as Leader   2019Elections    VS  Rest  amp   RahulGandhi  People on whose sid  "
"509","   People of India give a tight slap to  Modi  AssemblyElections2018  Results2018  ResultsWithNDTV  ChattisgarhElections20 "
"510"," fail   pass  Why we care about 70 years of  Congress in India  It s mean there is No deve  "
"511","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"512","Situation right now in  Rajasthan  amp   MadhyaPradesh                 bjp  AssemblyElections2018  ChhattisgarhElections2018  "
"513","Today on TV the best face to see is of Sandeep    errr     Sambit Patra     AssemblyElection2018  BJP  Congress  Modi  Election2018"
"514","    90  beneficiaries of     Free Aawas  shauchalay  gas  mediclaim is Muslim   Dalit        who gives gaali to  "
"515","     governor  UrjitPatel s resignation a day before Parliament s winter session comes as a shot in the arm for  Congre "
"516"," RBI  Modi is damaging every constitutional institution in  India   ModiDestroysRBI  ModiDestroyedRBI   "
"517","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"518","    Modi ji now                             AssemblyElections2018  Results2018 "
"519","But one thing is sure that  Modi ji and Amit Shah need to plug a lot of gaps in the run up to general elections of  "
"520","    PM  Modi who talks all the time about opposition mukt  Bharat is now holding a press briefing asking for  DEBATE  amp   CO OP "
"521","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"522","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"523","Any self respecting leader in place  of  would jump in glass of water and commit suicide  This  SLAP b  "
"524"," PM  Modi who talks all the time about opposition mukt  Bharat is now holding a press briefing asking for  DEBATE  amp   "
"525","Why BJP LOSS think about                modi ji"
"526","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"527","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"528","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"529","Telengana Gathbandhan fails  In others anti incumbancy factor  amp  not Rahul s Charisma  helping Cong  Strong anti inc  "
"530","    WinterSession   PM Modi says that he hopes to have a constructive debate during Winter Session of Parliament  He adds that "
"531","  governor  UrjitPatel s resignation a day before Parliament s winter session comes as a shot in the arm for  "
"532","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"533","   tdy evening all middle class people s are suffer bcoz of hike the  petrol and diesel prices with a sudden effect of this 5 "
"534","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"535","PM  Modi says Ready To Work For More Than Allotted Time In Winter Session Of  Parliament   Urge Parties To Work In  "
"536","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"537","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"538","EVMs in Rajasthan and Chhattisgarh are NOT hacked    EVMs in Mizoram and Telangana are hacked because Congress is u  "
"539","   Wondering   Modi meets Press for 20 Seconds                                                               Guesing  We Accepts People Verdict  Says  PM  Modi after downfall in               "
"540","    WinterSession   PM Modi says that he hopes to have a constructive debate during Winter Session of Parliament  He adds that "
"541","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"542","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"543"," WinterSession   PM Modi says that he hopes to have a constructive debate during Winter Session of Parliament  He a  "
"544"," AssemblyElection  Results2018   Modi wave to vaporize today as  RahulGandhi 2 0 makes a comeback in  Hindi  "
"545","Oops Modi going for Parliament that too giving interview and going   Yea it s something rare to see him entering in  "
"546","Wondering   Modi meets Press for 20 Seconds                                                               Guesing  We Accepts People Verdict  Says  PM  Modi after downfal  "
"547"," Modi did not utter a word about  assemblyelection results during the  wintersession opening update to media "
"548","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"549","Bhaktan going insane   Just to cover up  UrjitPatel s stepping down that s a disaster for  Modi "
"550","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"551","    UrjitPatel and  Congress When appointed  he was not qualified to be  RBIGovernor  Last week  they wanted him to resign  To "
"552","    90  beneficiaries of     Free Aawas  shauchalay  gas  mediclaim is Muslim   Dalit        who gives gaali to  "
"553","The hindi belt hands  and  a  suspension  from the school   if they don t mend their ways  "
"554","Is  Modi holding his first ever  PressConference in 4 and a half years "
"555"," Modi   Money   Mandir does not seem to have rung a bell with the youth  Hope the  realises that at least  "
"556","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"557","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"558","tdy evening all middle class people s are suffer bcoz of hike the  petrol and diesel prices with a sudden effect of  "
"559","   My dear I am not married yet  but your dream of addressing anyone as  "
"560","   Dynasty doormat  amp  so called journo  Editors  GUILT   denying the fluid  amp  ever changing dynamics of diplomac "
"561"," Really agree with having fresh n better stock of Spokespersons  amp  so  first remove Sambit Patra  He is  "
"562","   Dynasty doormat  amp  so called journo  Editors  GUILT   denying the fluid  amp  ever changing dynamics of diplomac "
"563","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"564","  Institution above individuals should be the mantra everywhere in every case it may be  "
"565","The possible  rout in the Hindi belt does not augur well for  2019Elections Deep introspection needed   d  "
"566","5 M for  as per        modi    money  95  electoral bonds went 2  bjp    media   machine    "
"567","    90  beneficiaries of     Free Aawas  shauchalay  gas  mediclaim is Muslim   Dalit        who gives gaali to  "
"568"," Shanghai    Bharatmata 1st book of its kind site How will  Modi   BJP do in  election2019  "
"569","   Dynasty doormat  amp  so called journo  Editors  GUILT   denying the fluid  amp  ever changing dynamics of diplomac "
"570","Dynasty doormat  amp  so called journo  Editors  GUILT   denying the fluid  amp  ever changing dynamics of dip  "
"571"," Patel s shocking exit may add more to India s risk as  Modi gears up for votes   "
"572","   The discussions on present govt  amp  spreading messages over social media against Modi r myth  unless some specific proof  p "
"573","   The discussions on present govt  amp  spreading messages over social media against Modi r myth  unless some specific proof  p "
"574"," Achievements of  Modi in 4 75 years is    "
"575"," Hope these results are enough to shock  and  into realising how blatantly  "
"576","   An exclusive picture of  Modi wave right now     Results2018   RajasthanElections   MPElections2018     "
"577","   1   ICYMI  excoriates  founder   JackDorsey for his inexcusable tone deaf enabling of the  Myan "
"578","   The discussions on present govt  amp  spreading messages over social media against Modi r myth  unless some specific proof  p "
"579","    Farmers Farewell party to  Modi in  Congress HQ"
"580"," Farmers Farewell party to  Modi in  Congress HQ"
"581","   The discussions on present govt  amp  spreading messages over social media against Modi r myth  unless some specific proof  p "
"582","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"583","     I think  Modi and  RSS is least bothered about image and reelection  They left it to citizens  intel "
"584","   The discussions on present govt  amp  spreading messages over social media against Modi r myth  unless some specific proof  p "
"585","The  Congress era was an insult to the intelligence of every Indian citizen The  Modi era is an abomination to ever  "
"586","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"587","   The discussions on present govt  amp  spreading messages over social media against Modi r myth  unless some specific proof  p "
"588","   Just imagine wat this lady must have felt when she lost him on whose shoulder she rests in the picture  But she came out m "
"589","   The discussions on present govt  amp  spreading messages over social media against Modi r myth  unless some specific proof  p "
"590","   Nehru  Indira Gandhi Rajiv Gandhi  Did not have this to their credit  Now  Modi has it  Congrats  First time in 70 years G "
"591","   The discussions on present govt  amp  spreading messages over social media against Modi r myth  unless some specific proof  p "
"592","   An exclusive picture of  Modi wave right now     Results2018   RajasthanElections   MPElections2018     "
"593","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"594","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"595","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"596","Finally RIP Modi Wave                AssemblyElection2018   TelanaganaElections2018  Rajasthan  RahulGandhi  bjp  "
"597","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"598","   Have  MadhyaPradesh voters given a decisive verdict or is it going to be a hung assembly  Is this the return of  Congress  "
"599","Who says that  Modi did not do work  He has created most of the records and taken India to new heights  His  has be  "
"600","    90  beneficiaries of     Free Aawas  shauchalay  gas  mediclaim is Muslim   Dalit        who gives gaali to  "
"601","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"602","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"603","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"604","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"605","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"606","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"607","    Modi s repugnant  crude and cheap remarks against Mrs Sonia Gandhi is hardly surprising  He once called her a Jersey cow  H "
"608","    90  beneficiaries of     Free Aawas  shauchalay  gas  mediclaim is Muslim   Dalit        who gives gaali to  "
"609","Poetry like prose style site Big BJP win in  Uttarpradesh How  Should  Modi get all credit   "
"610","An exclusive picture of  Modi wave right now     Results2018   RajasthanElections   MPElections2018     "
"611","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"612","Dictatorship of  AmitShah  modi  Come to an end    RajasthanElections2018  ChattisgarhElections2018  MadhyaPradesh"
"613","    90  beneficiaries of     Free Aawas  shauchalay  gas  mediclaim is Muslim   Dalit        who gives gaali to  "
"614"," After 70  yrs still cog also fighting back right   the message is clear that people wanted only a pe  "
"615","   PM  Modi had announced that he would provide Electricity for All   Now that the deadline is near  amp  no work has been done  "
"616"," 90  beneficiaries of     Free Aawas  shauchalay  gas  mediclaim is Muslim   Dalit        who gives gaa  "
"617","5 states election effects of  Modi s neglegency of agriculture sector and enjoying  foreign tour"
"618","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"619","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"620","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"621","May  wins  So it will remind  that there is DEMOCRACY in INDIA     Results2018  "
"622","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"623","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"624","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"625","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"626","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"627","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"628","   Name change alert  now it is called Reserve Bunk of India  Congratulations Mr  Modi "
"629","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"630","    India s  BJP trails in vote count of three state polls  in setback for  Modi   "
"631"," India s  BJP trails in vote count of three state polls  in setback for  Modi    "
"632","    Is this  Modi ji s biopic "
"633","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"634","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"635"," BJP is always BJP but not BJP is  Modi Proved todays result"
"636","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"637","   Banker Uday Kotak says  demonetisation was poorly executed   Economists  Businessmen  Bureaucrats  Bankers  amp  accomplished "
"638","   Get ready for lot of jumlas from  modi  Few tears and Jan ka sevak dialogues are ready for today s scripts   Mitrooooon don "
"639","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"640","Another shock to  Modi  BJP GOVERNMENT "
"641","The End of  Modi laher today          "
"642","What couldn t happen in 2013 coz of the socalled  Modi lehar  has happened in 2018   facing a rout not  "
"643","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"644","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"645","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"646","   Biggest Effect of  Demonetisation     Looses  Election2018 5 0 before loosing  Election201 "
"647"," Results2018  AssemblyElections2018 In last 4 yrs 1st time no congress spokesperson is cribbing about EvM machine i  "
"648","Modiji Vikas na mudda thi vichalit thava nu aa parinam chhe      We want you back in  2019 We cannot a  "
"649","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"650","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"651","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"652","    If  loses any of 3 states Rajasthan  MP  Chhattisgarh   Then Seculars  amp  liberals will say  IT "
"653"," Looks like  Modi has lost all his  charm "
"654","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"655"," Dry bad performance of BJP  It s evident that only  Modi is working  other leaders are not with the people"
"656","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"657","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"658","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"659","   Have  MadhyaPradesh voters given a decisive verdict or is it going to be a hung assembly  Is this the return of  Congress  "
"660","   Have  MadhyaPradesh voters given a decisive verdict or is it going to be a hung assembly  Is this the return of  Congress  "
"661","   Dear Rajasthan   Tomorrow  11 Dec we r going 2 face result of assembly elections  Though  ExitPolls say Congress will "
"662","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"663","People of India give a tight slap to  Modi  AssemblyElections2018  Results2018  ResultsWithNDTV  "
"664","So  Rajastan  Chhatisgarh people rejected  Modi  AmitShah and Mamaji having a tough fight in  MadhyaPradesh    AchheDin"
"665","    If  loses any of 3 states Rajasthan  MP  Chhattisgarh   Then Seculars  amp  liberals will say  IT "
"666","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"667","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"668"," attacks  Modi over farm woes  says anger rising in the country  "
"669","Way  TelanganaElections  Telanganaresults going so far   Modi should ask  YSJagan to sit for indefinite hunger stri  "
"670","   FULL COVERAGE    UrjitPatel Resignation  All you need to know about  RBIGovernor s exit   Modi "
"671","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"672","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"673","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"674","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"675","   90  beneficiaries of     Free Aawas  shauchalay  gas  mediclaim is Muslim   Dalit        who gives gaali to  not "
"676","   PM  Modi loves to refer to himself as a Chaiwala   But he has ignored the Tea Growers of Assam since 2014  going back on hi "
"677"," price slump adds to  farmdistress  sharpens  Modi s  election stakes"
"678"," If  loses any of 3 states Rajasthan  MP  Chhattisgarh   Then Seculars  amp  liberals will say   "
"679","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"680","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"681","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"682","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"683","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"684","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"685"," leading on 3 states Madhya Pradesh  Rajasthan  and Chhattisgarh  Where in rallies    "
"686","   The discussions on present govt  amp  spreading messages over social media against Modi r myth  unless some specific proof  p "
"687","   Bhakts on switching on their TV will be lije  Results2018  ElectionResults2018  Modi  RajasthanAssemblyelection2018  Madh "
"688","   Bhakts on switching on their TV will be lije  Results2018  ElectionResults2018  Modi  RajasthanAssemblyelection2018  Madh "
"689","    BJP is leading in mp  chhatisagarh    Congress is only 4 seats ahead in  Rajasthan  There are lots of factors to win el "
"690","   The discussions on present govt  amp  spreading messages over social media against Modi r myth  unless some specific proof  p "
"691","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"692"," ElectionResults2018  bjp  congress  modi  RahulGandhi  where are u sir     lol "
"693","   1   ICYMI  excoriates  founder   JackDorsey for his inexcusable tone deaf enabling of the  Myan "
"694","    If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Co "
"695","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"696","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"697","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"698","1   ICYMI  excoriates  founder   JackDorsey for his inexcusable tone deaf enabling of th  "
"699","Who is Next   Modi "
"700"," If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd  "
"701","Downfall of  Modi starts     AssemblyElections2018"
"702","   Banker Uday Kotak says  demonetisation was poorly executed   Economists  Businessmen  Bureaucrats  Bankers  amp  accomplished "
"703","Bhakts on switching on their TV will be lije  Results2018  ElectionResults2018  Modi  RajasthanAssemblyelection2018  "
"704","Modi have New Patel  so throwing Old                                      Modi "
"705","   Banker Uday Kotak says  demonetisation was poorly executed   Economists  Businessmen  Bureaucrats  Bankers  amp  accomplished "
"706","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"707"," Hmmm   not surprised in  Rajasthan  but  chattisgarh  wake up call to  Modi  amp  extreme RW  In case  "
"708","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"709","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"710"," ElectionResults2018 Looks like the slogan is  bjpmukthbharat now       bjp  CongressIsWinning  RahulGandhi  modi"
"711","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"712","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"713","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"714","    BJP is leading in mp  chhatisagarh    Congress is only 4 seats ahead in  Rajasthan  There are lots of factors to win el "
"715","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"716","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"717","   FULL COVERAGE    UrjitPatel Resignation  All you need to know about  RBIGovernor s exit   Modi "
"718","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"719","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"720","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"721","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"722","    ChristianMichel admitted in July that the  Modi govt offered him a clean chit if he agreed to frame Sonia Gandhi ji   Thi "
"723","   PM  Modi had announced that he would provide Electricity for All   Now that the deadline is near  amp  no work has been done  "
"724","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"725","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"726","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"727","90  beneficiaries of     Free Aawas  shauchalay  gas  mediclaim is Muslim   Dalit        who gives gaali to  "
"728","We the public told   to change his ways  answer voters  you can t be a dictator but ar  "
"729","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"730","   Banker Uday Kotak says  demonetisation was poorly executed   Economists  Businessmen  Bureaucrats  Bankers  amp  accomplished "
"731","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"732","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"733","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"734","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"735","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
