"","x"
"476","    First they ignore you  then they laugh at you  then they fight you  then you win    Mahatma Gandhi  RahulGandhi"
"477","     First they ignore you  then they laugh at you   then they attack you  then you Win     RahulGandhi   Congress  CongressIsWin "
"478","Sarvjan hitai sarvajan sukhai  RahulGandhi  ashokghalot  ElectionResults2018   SoniaGandhi  Rahul Gandhi has so suc  "
"479","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"480","If u ever think U won t be defeated by a  Chota guy  This  Elections2018 result is a proof of the other side   "
"481","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"482","    ChattisgarhElections2018   CPCC chief Bhupesh Baghel says   We are grateful to  RahulGandhi  we fought for the people  We g "
"483","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"484","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"485","   This historic wipeout of communal divisive BJP from Hindi heartland is a befitting gift to Rahulji on his one year complet "
"486","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"487","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"488","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"489","   This historic wipeout of communal divisive BJP from Hindi heartland is a befitting gift to Rahulji on his one year complet "
"490","    ABPResults  leader  KailashVijayvargiya accepts BJP has made mistakes in candidate selection by party and also emp "
"491","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"492"," Do you really think Rahul Gandhi deserves the position   There are no leaders in congress other than this joke  RahulGandhi              "
"493","     First they ignore you  then they laugh at you   then they attack you  then you Win     RahulGandhi   Congress  CongressIsWin "
"494","It seems Indians are dreaming to make gold from potatoes                                       BJP  INC  RahulGandhi  NarendraModi"
"495","    ChattisgarhElections2018   CPCC chief Bhupesh Baghel says   We are grateful to  RahulGandhi  we fought for the people  We g "
"496","     First they ignore you  then they laugh at you   then they attack you  then you Win     RahulGandhi   Congress  Congres "
"497","   This historic wipeout of communal divisive BJP from Hindi heartland is a befitting gift to Rahulji on his one year complet "
"498"," ChattisgarhElections2018   CPCC chief Bhupesh Baghel says   We are grateful to  RahulGandhi  we fought for the peo  "
"499","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"500","   Finally  Election Results Says                                                                                     "
"501","    RahulGandhi by Jawed Naqvi Sahib  Submitting to the onslaught of Fundamentalism   Ilhan  Rashida and Rahul  "
"502","Before  Results2018 I was thinking that  RahulGandhi is pappu bcz he s talking like this      But now he proved tha  "
"503"," RahulGandhi very congratulations Party And You "
"504","2019 lost   RahulGandhi is prince  in waiting "
"505","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"506","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"507","   This historic wipeout of communal divisive BJP from Hindi heartland is a befitting gift to Rahulji on his one year complet "
"508"," RahulGandhi looks like EVM is hacked on your side this time    Happy to see you win"
"509","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"510","Today is Mahakavi Bharathiyar Birthday  His poem line   pala vedikkai manidharai pole  naan veezhven endre ninaitha  "
"511","This historic wipeout of communal divisive BJP from Hindi heartland is a befitting gift to Rahulji on his one year  "
"512","Big congratulations to the  president  ji and to all the party workers because of them  "
"513","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"514","   Sachin Pilot took a vow to wear the Rajasthani Safa by himself only after Congress gets back on winning track Will it be "
"515","Same date repeats it was  11th when  RahulGandhi became president Post in  Congress today date 11th samye balwan th  "
"516","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"517","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"518","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"519"," RahulGandhi ji congratulations to win C  G   WE WANTS to BE COME C  M   Shri T  S   Singhdev "
"520","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"521","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"522","   Finally  Election Results Says                                                                                     "
"523","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"524","Congress in Rajasthan  Chhattisgarh and TRS in Telangana   onebharath  Elections2018  inc  RahulGandhi  bjp  modi"
"525","  This is the trend for anti  BJP people to utilize thier energy to blame the one who is tr  "
"526"," Elections2018 headline   madhyapradesh 112  congress   108  bjp   chhattisgarh 62 13  rajasthan 103 69   telangana  "
"527","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"528","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"529","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"530","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"531","Finally  Election Results Says                                                                                     "
"532","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"533","  First they ignore you  then they laugh at you   then they attack you  then you Win     RahulGandhi   Congress  "
"534","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"535","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"536","   Modi ji says India was a sleeping giant before he became Prime Minister  This is an insult to all the Indians who have b "
"537","   Breaking of Dormancy   CongressIsWinning    Jai  RahulGandhi  Jai   Congress      "
"538"," First they ignore you  then they laugh at you  then they fight you  then you win    Mahatma Gandhi  RahulGandhi"
"539","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"540","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"541","   Leading this protest is  RahulGandhi who has been ridiculed by some standing behind him  Times change        "
"542","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"543","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"544","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"545"," AssemblyElections2018    no term like  Modi wave exist    EVMs working fine if bjp loss    "
"546","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"547","   New leader in New India  A leader who speaks for the 99  people of India  Congratulations    Results2018   "
"548"," RahulGandhi Hello Sir   My father is kidney patient and currently running on dialysis  I am really concerned about  "
"549","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"550","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"551","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"552","Whenever India is old and weak in history she had shown an amazing capability to catch her youth back   Nehru  inc  RahulGandhi"
"553","   Breaking of Dormancy   CongressIsWinning    Jai  RahulGandhi  Jai   Congress      "
"554","Congratulations to  RahulGandhi   Your efforts to revive the  CongressParty have borne fruit   Enjoy the sunshine  "
"555","   Cannot tolerate  Congress winning the elections in  2019Election    It would be Terrorsome    RahulGandhi as the PM of In "
"556","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"557","Lord Megnad Desai on  says  RahulGandhi has made  Congress a Hindu Party which will make things difficult for  "
"558","   The big day has arrived    has completed a year as president and proved to be a leader with a human face   C "
"559","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"560","Bringing back the glory   RahulGandhi  IndianNationalCongress "
"561","For Huge Mandate in Chhattisgarh  Cong Plans  Thank You  For Farmers  "
"562","     First they ignore you  then they laugh at you   then they attack you  then you Win     RahulGandhi   Congress  Congres "
"563","Potato to gold machine made in Bhopal phones and many more comming to your way       Be ready to accept   "
"564","   Nobody in any studio is calling  RahulGandhi   pappu today   Like a wise man had once said  first they ignore you  then "
"565","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"566","Before  where  rahulgandhi campaigns   BJP wins  Now  where  YogiAdityanath campaigns   Congress is winning "
"567","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"568","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"569","Congrats     RahulGandhi  ElectionResults2018  ElectionsWithNews18  Elections  ElectionsWithNews18 "
"570","Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you   "
"571","Leave 15 Lakh in your account  vote for  congress it will give                 Machine     PappuGandhi If it so     "
"572","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"573","     First they ignore you  then they laugh at you   then they attack you  then you Win     RahulGandhi   Congress  Congres "
"574","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"575","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"576","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"577","Sachin Pilot should be a CM of Rajasthan and Jyotirajaditya Scindia of MP  if Congress will manage to win  instead  "
"578","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"579","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"580","Rajasthan Election Results Latest Updates 2018   Resutls2018  RajasthanElections2018  Modi  "
"581","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"582","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"583","First they ignore you  then they laugh at you   then they attack you  then you Win     RahulGandhi "
"584","   The govt  is getting more  amp  more desperate  The govt  is taking measures that are dangerous for our country  The RBI gov "
"585","   Jai Congress  Congress  RahulGandhi  Telangana "
"586","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"587","   congress party has done remarkable performance in states election and it s because of  "
"588","All jobless people and farmers are happy after  congress win  Results2018 now every farmers loan will be waved and  "
"589","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"590"," AssemblyElections2018 Results  As the election results pour  Twitter takes on  Modi praises  RahulGandhi  say  ab  "
"591","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"592","    Judiciary is saving  PC   Sonia  RahulGandhi what Modi ji can do "
"593","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"594","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"595","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"596","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"597","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"598","   Its heartening  amp  noteworthy that post  ExitPolls  even the most anti   RahulGandhi   amp   channels like  and "
"599","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"600","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"601"," RahulGandhi by Jawed Naqvi Sahib  Submitting to the onslaught of Fundamentalism   Ilhan  Rashida and Rahul  "
"602","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"603","    Impulse   Chidiya Udh with RaGa  Everything that  BJP claims to be have done  Congress also did just that they forgot to "
"604","Now irs time for FACTORIES that make ALU TO GOLD MADE IN RAJASTHAN AND MADE IN CHATTISGARH      RahulGandhi"
"605","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"606","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"607","    Impulse   Chidiya Udh with RaGa  Everything that  BJP claims to be have done  Congress also did just that they forgot to "
"608","  First they ignore you  then they laugh at you   then they attack you  then you Win     RahulGandhi   Congress  "
"609","For MMS and  Congress reverse path from the ruins created by their misrule will always be a  wrong path  People wil  "
"610","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"611","    ABPResults  leader  KailashVijayvargiya accepts BJP has made mistakes in candidate selection by party and also emp "
"612","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"613","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"614","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"615","   The big day has arrived    has completed a year as president and proved to be a leader with a human face   C "
"616","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"617","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"618","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"619","NATIONAL    Rahul Worked Hard For Victory   Says Sonia Gandhi   RahulGandhi  SoniaGandhi  Indianews  Congress "
"620","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"621","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"622","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"623","Cannot tolerate  Congress winning the elections in  2019Election    It would be Terrorsome    RahulGandhi as the PM  "
"624","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"625","   The big day has arrived    has completed a year as president and proved to be a leader with a human face   C "
"626"," RahulGandhi should thank  BJP for the constant attack  which surely made him a better leader and more acceptable   "
"627","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"628","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"629","     First they ignore you  then they laugh at you   then they attack you  then you Win     RahulGandhi   Congress  Congres "
"630","Well played boss     RahulGandhi"
"631","Happy to see the come back of our national party congress Lots of love to  sir   "
"632","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"633","   The big day has arrived    has completed a year as president and proved to be a leader with a human face   C "
"634","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"635","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"636","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"637","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"638","   The big day has arrived    has completed a year as president and proved to be a leader with a human face   C "
"639","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"640","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"641","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"642","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"643","Not being biased but Rahul Gandhi efforts have shown and bought  the glory back of the Congress party  Results2018  "
"644","  RahulGandhi the winner"
"645","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"646","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"647","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"648","     First they ignore you  then they laugh at you   then they attack you  then you Win     RahulGandhi   Congress  Congres "
"649","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"650","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"651","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"652","  Yes    Right   R u in joking mood today   First get him  Back on Indian soil instead of  "
"653","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"654","  First they ignore you  then they laugh at you   then they attack you  then you Win   ElectionResults2018  "
"655","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"656","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"657","Bhakts be like   This country doesn t deserve a Nationalist man like Modi    MadhyaPradeshElections2018  "
"658","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"659","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"660","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"661","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"662","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"663","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"664","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"665","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"666","ALL THE SECULAR  PROGRESSIVE MINDS OF JNU ARE INVITED TO TAKE PA IN THE SECULAR MARCH TO CELEBRATE THE SPECTACULA  "
"667","   The big day has arrived    has completed a year as president and proved to be a leader with a human face   C "
"668","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"669","   Breaking of Dormancy   CongressIsWinning    Jai  RahulGandhi  Jai   Congress      "
"670","    Congress  win in  Chhattisgarh  likely win in  Rajasthan  amp  neck and neck contest in  MadhyaPradesh shows that voters have "
"671","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"672","   RIP BJP                           ElectionResults  ElectionResults2018  BJPfails  RahulGandhi  RajasthanElections  Nomorebjp  tamilisaisoundararaja "
"673","     First they ignore you  then they laugh at you   then they attack you  then you Win     RahulGandhi   Congress  Congres "
"674","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"675","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"676","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"677","   Nobody in any studio is calling  RahulGandhi   pappu today   Like a wise man had once said  first they ignore you  then "
"678","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"679","   Jokes apart  Are you all seriously thinking of making  RahulGandhi as the next PM   No if there s a Change in plan  tel "
"680","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"681","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"682","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"683","    RahulGandhi right now  Results2018    AamirKhan "
"684","   3 Big Achievements of My 2 6 Year Journey of Twitter    1 On 4th May 2017 Honoured to b Followed by PM  ji "
"685","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"686"," Fact Check      Aurangzeb    Photo Shopped Into The Picture Of  RahulGandhi Filing The  Nomination For The  "
"687","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"688","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"689","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"690","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"691","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"692","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"693","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"694","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"695","     First they ignore you  then they laugh at you   then they attack you  then you Win     RahulGandhi   Congress  Congres "
"696","   The big day has arrived    has completed a year as president and proved to be a leader with a human face   C "
"697","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"698","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"699","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"700","    RahulGandhi right now  Results2018    AamirKhan "
"701","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"702","Nobody in any studio is calling  RahulGandhi   pappu today   Like a wise man had once said  first they ignore you   "
"703","Woohoo   Sachin Pilot of Congress wins at Tonk  Rajasthan with a margin of over 36 000  Congratulations                                             "
"704","  And Social Media Machinery of BJP   RahulGandhi   BasAkhariSaal"
"705","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"706","   3 Big Achievements of My 2 6 Year Journey of Twitter    1 On 4th May 2017 Honoured to b Followed by PM  ji "
"707","    Congress  win in  Chhattisgarh  likely win in  Rajasthan  amp  neck and neck contest in  MadhyaPradesh shows that voters have "
"708","     First they ignore you  then they laugh at you   then they attack you  then you Win     RahulGandhi   Congress  Congres "
"709","    Congress  win in  Chhattisgarh  likely win in  Rajasthan  amp  neck and neck contest in  MadhyaPradesh shows that voters have "
"710"," shameful even they know that they won t win this elections  amp  doing such cheap tricks to grab attention what el  "
"711","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"712","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"713","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"714","   3 Big Achievements of My 2 6 Year Journey of Twitter    1 On 4th May 2017 Honoured to b Followed by PM  ji "
"715","It will be saddest day of my life if a chutiya like  RahulGandhi out of such a huge population of India becomes PM  "
"716","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"717","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"718","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"719","     First they ignore you  then they laugh at you   then they attack you  then you Win     RahulGandhi   Congress  Congres "
"720","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"721","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"722","     First they ignore you  then they laugh at you   then they attack you  then you Win     RahulGandhi   Congress  Congres "
"723","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"724","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"725","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"726","Result has some message for all   RahulGandhi  AssemblyElections2018  bjp"
"727","     First they ignore you  then they laugh at you   then they attack you  then you Win     RahulGandhi   Congress  Congres "
"728","Mr   though I am sure you will cross the half way mark  but in any case make sure  Fax Machine  in Raj B  "
"729","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"730","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"731","Congrats to Mr   RahulGandhi  for best campaigns in  AssemblyElections2018"
"732","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"733","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"734","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"735","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"736","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"737","Fall of the wave   Will there be a crest  Big blow for BJP  Intresting national elections next year  India  "
"738","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"739","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"740","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"741","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"742","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"743","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"744","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"745","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"746","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"747","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"748","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"749","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"750","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"751","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"752","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"753","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"754","    blamed  ji fr  Mallya running away frm India    Today aftr  MallyaVerdict    RahulGandhi hs "
"755","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"756","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"757","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"758","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"759","  Congress and  RahulGandhi should explain what happened to their  EVM hacked story   Results2018  "
"760","   3 Big Achievements of My 2 6 Year Journey of Twitter    1 On 4th May 2017 Honoured to b Followed by PM  ji "
"761","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"762","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"763","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"764","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"765","     First they ignore you  then they laugh at you   then they attack you  then you Win     RahulGandhi   Congress  Congres "
"766","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"767","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"768","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"769","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"770","Congress logic  If congress win   it s because of  RahulGandhi  If Congress loss   it s not beacuse of  "
"771","  First they ignore you  then they laugh at you   then they attack you  then you Win     kingmaker  RahulGandhi   "
"772","Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you   "
"773","   3 Big Achievements of My 2 6 Year Journey of Twitter    1 On 4th May 2017 Honoured to b Followed by PM  ji "
"774","   The big day has arrived    has completed a year as president and proved to be a leader with a human face   C "
"775","   Rajasthan Assembly Election 2018  Sachin Pilot or Ashok Gehlot  Who will be Rahul Gandhi s choice to lead Congress gov "
"776","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"777","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"778","The real fact is  RahulGandhi face a loss   TelanganaElections2018"
"779","   With the RBI Governor s resignation one more independent institution has fallen  The BJP has demolished every temple of m "
"780","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"781","Congress President  RahulGandhi meets  SoniaGandhi s at her residence  10 Janpath    AssemblyElections2018  "
