"","x"
"519","Thousands of  jobs created due to  Modi s  AyushmanBharat   healthcare jobs surge in November   Naukri "
"520","Till March 2019 Narendra Modi will not come back to normal   Namo  Modi "
"521","   Is Modi staring at his biggest poll rout       Modi  Results2018 Read more at  "
"522","      on Urjit Patel s resignation as RBI Governor  People he  PM  appointed are resigning  first Arvind Subramanian "
"523","    VijayMallya  s extradition is a very significant development in India s fight against corruption  Credit for this goes en "
"524","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"525","Let s discuss about development  amp  achievements under  Modi regime   Me  What  BJP did in last 4 years    Bhakt  Wha  "
"526","    Congress  win in  Chhattisgarh  likely win in  Rajasthan  amp  neck and neck contest in  MadhyaPradesh shows that voters have "
"527","   Pic 1   what we see Pic 2  what Rahul Gandhi actually did  RahulGandhi  NarendraModi  modi  bjp  Congress   RajasthanElect "
"528","Pic 1   what we see Pic 2  what Rahul Gandhi actually did  RahulGandhi  NarendraModi  modi  bjp  Congress  "
"529","   Wonder now how will the  Governor of  Rajasthan Kalyan Singh and Governor of  madyapradesh and part time Guv of  Chattisga "
"530","    Congress  win in  Chhattisgarh  likely win in  Rajasthan  amp  neck and neck contest in  MadhyaPradesh shows that voters have "
"531","   Urjit Patel  Governor of the  RBI  has finally said no to the  Modi s proposed theft of RBI s reserves  If 2016 s slipshod "
"532","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"533","Is Modi staring at his biggest poll rout       Modi  Results2018 Read more at  "
"534","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"535","  end result matters   elections doesn t present a budget   reasons may be a lethargic gov  "
"536","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"537","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"538","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"539","Irrespective of today s results will you vote for  Modi in 2019     Result2018"
"540","Highlights of  AssemblyElections2018      Modi wave is a thing of the past    EVMs working fine    Cowbelt feeds Co  "
"541","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"542","Wonder now how will the  Governor of  Rajasthan Kalyan Singh and Governor of  madyapradesh and part time Guv of  "
"543","    Congress  win in  Chhattisgarh  likely win in  Rajasthan  amp  neck and neck contest in  MadhyaPradesh shows that voters have "
"544","     governor  UrjitPatel s resignation a day before Parliament s winter session comes as a shot in the arm for  Congre "
"545","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"546","Credit    modi  YogiAdityanath  BJP  Congress   RajasthanElections "
"547","  Shivraj was considered a PM prospect even in 2014  In fact  Advani even said as much on cert  "
"548","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"549","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"550"," Congratulations but don t be dick  we all know what people can do to arrogance  via  modi"
"551","    Congress  win in  Chhattisgarh  likely win in  Rajasthan  amp  neck and neck contest in  MadhyaPradesh shows that voters have "
"552","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"553","   Ooops  even after  Modi n  AmithShah campaign in  Telangana 5 sitting  BJP MLAs are trailing  including Kishan Reddy  La "
"554","    Modi wave         BJP               "
"555","clearly the results indicate who is gonna form the government in 2019   modi  ElectionResults2018"
"556","Interesting fact is out of 13 rallies addressed by  in  MadhyaPradesh    In 9 constituency   "
"557","    Congress  win in  Chhattisgarh  likely win in  Rajasthan  amp  neck and neck contest in  MadhyaPradesh shows that voters have "
"558","Why all intellectuals are leaving jobs under Modi Govt               Just a question     P S  I am a democratic person  Indo n  "
"559"," Congress  win in  Chhattisgarh  likely win in  Rajasthan  amp  neck and neck contest in  MadhyaPradesh shows that vote  "
"560","IF  Congress wins in  MadhyaPradesh   BJP is done for good  15 year rule trashed  That too while the so called    "
"561","   PM  Modi s statement ahead of  WinterSession of  Parliament   Download the ET App here   "
"562","EVM worked just fine this time  I believe  No tampered  EVM news   hypocrites  Modi  ModiFor2019  ModiForPM2019"
"563","    IndiaGetsMallya  ChristianMichel  INC  Raga Beware  It is  at Delhi  Offenders promoted during  UPA regime "
"564","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"565","   Urjit Patel  Governor of the  RBI  has finally said no to the  Modi s proposed theft of RBI s reserves  If 2016 s slipshod "
"566","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"567","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"568","Economist  SurjitBhalla resigns from  EACPM   AssemblyElections2018  RajasthanElections2018  narendramodi  modi "
"569","   Urjit Patel  Governor of the  RBI  has finally said no to the  Modi s proposed theft of RBI s reserves  If 2016 s slipshod "
"570","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"571","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"572","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"573","The arrogance of  BJP   amp   Modi is getting answered back by the people of India      Results2018  "
"574","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"575"," Modi reminds of a strict uncle who would hit me if I speak something too liberal  manipulate me  and chain up my f  "
"576","   Ooops  even after  Modi n  AmithShah campaign in  Telangana 5 sitting  BJP MLAs are trailing  including Kishan Reddy  La "
"577","  The power of  modi"
"578","I wish  Results2018 give a positive feedback to  Modi ji and he switch back to the ideology that got him in power i  "
"579","So  Modi failed to make India  Comgress  Mukt   Congress is back to bite his ass  Jai Shri XXX Rum   "
"580","   PM  Modi s statement ahead of  WinterSession of  Parliament   Download the ET App here   "
"581","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"582","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"583","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"584","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"585","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"586","I am afraid that the loss for  bjp will push  Modi to side with more hardline right view and push away from growth  "
"587","If you watch  republictv it s business as usual   BJP will form the government  they have been informed about this  "
"588","I was expecting  Markets to fall on  congress victory   They haven t really  Did it already know that BJP will lose  "
"589","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"590"," MadhuJi We shd not disrespect  Voters by playing  Pakistan card again  amp  again  Voters are upset with  "
"591","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"592","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"593"," Modi faces popularity test with polls indicating tight contest in 5 states   ElectionResults2018  ElectionResults  "
"594","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"595","PM  Modi s statement ahead of  WinterSession of  Parliament   Download the ET App here   "
"596"," Modi faces popularity test with polls indicating tight contest in 5 states   ElectionResults2018  ElectionResults  "
"597","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"598","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"599"," Modi wave         BJP               "
"600"," achieves a paradigm shift with  Result2018 From being a tailender it jumps to front ranking slot  It will  "
"601","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"602","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"603"," Awesome Cover drive by  Modi bhakts               "
"604","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"605","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"606","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"607","  Bola  RahulGandhi ka spokesperson                                         wish i had dat video of Rahul post  Modi win in  "
"608","Who is THUG OF HINDUSTAN      Modi   AAMIRKHAN"
"609","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"610","    Modi should apologise "
"611","Is it holy victory that got out of the filthy remarks at caste  amp  family of  Modi ji   I don t think so "
"612","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"613"," solo2  ModiWarOnCorruption Women empowering site  How did  Modi   BJP win 2014 elections  "
"614","   Urjit Patel  Governor of the  RBI  has finally said no to the  Modi s proposed theft of RBI s reserves  If 2016 s slipshod "
"615","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"616","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"617","  Today s Voting Results for BJP shows how people started rethinking about  MODI   It s  "
"618","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"619","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"620","   Clip from my speech at the  CongressPlenarySession how  BJP  Modi Govt has killed the Indian Economy  Acche Din Aane W "
"621","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"622","   Hope  n  take a lesson not to depend on  YogiAdityanath n others as a  star  Campaigner in futur "
"623","   Urjit Patel  Governor of the  RBI  has finally said no to the  Modi s proposed theft of RBI s reserves  If 2016 s slipshod "
"624","   Roti  Kapda  Sadak  Bijli   every Government provides  The BJP Govt came into power with a Slogan of Sabka Saath Sabka Vikas  "
"625","   Urjit Patel  Governor of the  RBI  has finally said no to the  Modi s proposed theft of RBI s reserves  If 2016 s slipshod "
"626","   Urjit Patel  Governor of the  RBI  has finally said no to the  Modi s proposed theft of RBI s reserves  If 2016 s slipshod "
"627","Urjit Patel  Governor of the  RBI  has finally said no to the  Modi s proposed theft of RBI s reserves  If 2016 s s  "
"628","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"629","   Jumla Man bhakt   all development of  India came from sky  when your feku  "
"630","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"631","          "
"632","I can hear this picture               After the result of  Elections in 5 states                                        modiji  modi  bjp  lol "
"633","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"634","Why  Congress is celebrating  this is not their victory  it s loss of  BJP as the state govt has not fulfilled the  "
"635","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"636","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"637","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"638","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"639","Alarming results for  Modi     AssemblyElections2018"
"640","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"641","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"642","   At least     one thing is proved now  cow only gives milk   not votes     Results2018  AssemblyElections2018   Modi "
"643","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"644"," Nation    NationalInterest Must Prevail Over Party   Modi Ahead Of  WinterSession   "
"645","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"646","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"647","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"648","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"649","Now where are those who were crying for EVM hacks  Stupid opposition always trying to point out EVM when they used  "
"650","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"651","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"652","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"653","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"654","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"655","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"656","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"657","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"658","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"659","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"660","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"661","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"662","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"663","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"664","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"665","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"666","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"667","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"668","   PM  Modi had announced that he would provide Electricity for All   Now that the deadline is near  amp  no work has been done  "
"669","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"670","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"671","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"672","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"673","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"674","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"675","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"676","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"677","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"678","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"679","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"680","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"681","At least     one thing is proved now  cow only gives milk   not votes     Results2018  AssemblyElections2018   Modi "
"682","   This  December2018  Delhi crowd sounds ominously similar to the  December1992 vandals at  Ayodhya  If anybody cares for "
"683","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"684","  Modi is the biggest lier of India  So the  BJP is defeating in the  VidhanSabha election "
"685","   Name change alert  now it is called Reserve Bunk of India  Congratulations Mr  Modi "
"686","I sincerely hope now at least the EVM theory is put into dustbin                          MadhyaPradeshElections2018  "
"687","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"688","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"689","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"690","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"691","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"692","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"693","Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no mor  "
"694","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"695","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"696","   This is the second time a retired  transferred officer has been assigned on a case  is  "
"697","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"698","Is it the masterstroke by  Modi so that Rahul Gandhi remain as the opposition s PM candidate for 2019   copied  "
"699","Not defending  Rafale with tooth and nail was a major blunder from  Modi He simply allowed Congress to spread the l  "
"700","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"701","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"702","As expected this  PappuMutra drinking durbari bootlicking  Presstitute is showing her hate for  Modi              Results2018  "
"703"," Shame  on  Modi to use the word  Vidhwa for any woman     it s like calling bind a blind      Modi w  "
"704","   Many members of the  NDA have either quit the alliance or are at odds with the Modi  government  will this set  Modi up for a "
"705","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"706","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"707","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"708","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"709","Dear  Arnab Goswami  Your Big question has been answered  Modi Vs Who       Modi Vs  Nehru   Results2018"
"710","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"711"," Modi should apologise "
"712"," Results2018 I pray to all  BJP leadership save  Modi in  2019Elections otherwise   India would be loser because fa  "
"713","   Ooops  even after  Modi n  AmithShah campaign in  Telangana 5 sitting  BJP MLAs are trailing  including Kishan Reddy  La "
"714","Bank of  India    Modi wins Pyrrhic victory in ousting of RBI chief Patel  He resigned after a tense stand off with  "
"715","The biggest failure of  Modi is being soft on corruption cases  By now  most of the UPA scamsters should have been  "
"716","   Ooops  even after  Modi n  AmithShah campaign in  Telangana 5 sitting  BJP MLAs are trailing  including Kishan Reddy  La "
"717","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"718","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"719","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"720","Mukesh Ambani ke beti ke shadi par  Modi naay nahi perform kia or that smoll  small  guy was bz serving tea  Rafale overpass was done "
"721","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"722"," sir u r handling him very well  he   is only trying to defame  Modi ji and  Yogiji"
"723","                                                     Modi saved him first by sending him out of Nation  Now the Mal  "
"724","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"725","Who will be NEXT Prime Minister of INDIA     ElectionResults2018  Election2018  ChandrababuNaidu  Congress  BJP  "
"726","    Modi s repugnant  crude and cheap remarks against Mrs Sonia Gandhi is hardly surprising  He once called her a Jersey cow  H "
"727","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"728","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"729","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"730","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"731","PM s statement ahead of Winter Session of Parliament   modi  narendramodi  primeminister  "
"732","   Ooops  even after  Modi n  AmithShah campaign in  Telangana 5 sitting  BJP MLAs are trailing  including Kishan Reddy  La "
"733","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"734","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"735","   To hell with development  People are angry from BJP for not giving Rs15lakh in thr bank account  Now thr only hope is Pappu "
"736","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"737","   Ooops  even after  Modi n  AmithShah campaign in  Telangana 5 sitting  BJP MLAs are trailing  including Kishan Reddy  La "
"738","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"739"," Bjp  The people have finally spoken   They are angry and against  Modi and  BJP       "
"740","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"741","   Ooops  even after  Modi n  AmithShah campaign in  Telangana 5 sitting  BJP MLAs are trailing  including Kishan Reddy  La "
"742","          "
"743"," Modi fever is down now  let s see what happens now  Time for action  talks alone will not help   Election2018"
"744","The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes o  "
"745"," Results2018 Had  Malya hearing being held before  elections  the results of the states would have been different t  "
"746","   Ooops  even after  Modi n  AmithShah campaign in  Telangana 5 sitting  BJP MLAs are trailing  including Kishan Reddy  La "
"747","Ooops  even after  Modi n  AmithShah campaign in  Telangana 5 sitting  BJP MLAs are trailing  including Kishan Reddy  Lakshman n Raja Singh"
"748","    Modi ji work for your Dharma"
"749","All channels talks about people s anger against BJP but not a single one talks about its approval for  RaGa               "
"750"," Results2018 With BJP staring at defeat in  clearly  somewhere along the way   Modi  amp   BJP seem to have lost focus   "
"751","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"752","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"753","   To hell with development  People are angry from BJP for not giving Rs15lakh in thr bank account  Now thr only hope is Pappu "
"754","No  the prime reason is  Modi himself "
"755","         "
"756","   To hell with development  People are angry from BJP for not giving Rs15lakh in thr bank account  Now thr only hope is Pappu "
"757","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"758"," Results2018  If bJP loses   Congress   this is the voters revolt against the dictatorship of  BJP and  modi   this  "
"759","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"760","Even if  wins these 3 BJP states   is still at fault for not giving a face to fight  And unles  "
"761","   Name change alert  now it is called Reserve Bunk of India  Congratulations Mr  Modi "
"762","This is not a bad result for  BJP        Modi factor will be again a big factor in  loksabha elections     Market knows  More swings ahead  "
"763","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"764","3 states lost  Ally out from coalition  Patel resigned   BJP  Modi day over   ElectionResults"
"765","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"766","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"767","Semi Final Won by Congress and A Great loss of 5 State to  BJP  NOW no Waves of  Modi   AssemblyElections2018"
"768","Today Lalu  Mulayam  Naidu  Pawar  Congress  amp  Kejriwal coming together to discuss how to defeat Modi  Seems being c  "
"769"," LATEST  Indiaelections  results show Narendra  Modi s  trailing in three key states   India will hold na  "
"770","   Where is  Modi wave  Taking rest  "
"771","Where is  Modi wave  Taking rest  "
"772","When BJP stood at centre and fails to win in states   clear point that people don t want  MODI anymore   BJP mukhtt  "
"773","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"774","Did you hear the bang   A big 56  balloon just burst    Modi  Elections2018"
"775","  How so    Modi did nothing for  Hindus so what s the difference  "
"776","   To hell with development  People are angry from BJP for not giving Rs15lakh in thr bank account  Now thr only hope is Pappu "
"777"," Bjp  LOSERS     No more  Modi lies  "
"778","   To hell with development  People are angry from BJP for not giving Rs15lakh in thr bank account  Now thr only hope is Pappu "
"779","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"780","   Name change alert  now it is called Reserve Bunk of India  Congratulations Mr  Modi "
"781","   To hell with development  People are angry from BJP for not giving Rs15lakh in thr bank account  Now thr only hope is Pappu "
"782","   It s so good to see evil forces of  BJP losing in all 5 Indian states   people are getting wiser now to throw away the evil "
"783","   Banker Uday Kotak says  demonetisation was poorly executed   Economists  Businessmen  Bureaucrats  Bankers  amp  accomplished "
"784","   To hell with development  People are angry from BJP for not giving Rs15lakh in thr bank account  Now thr only hope is Pappu "
"785","It s so good to see evil forces of  BJP losing in all 5 Indian states   people are getting wiser now to throw away  "
"786","  ExitPollIndiaToday looks like  Congress doing well    things loook tough for  BJP in the coming elections  "
"787"," We will win by big margin     We will win     These are early trends     Still early trends     Let us wait for fi  "
"788","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"789","It s so good to see evil forces of  BJP losing in all 5 Indian states   people are getting wiser now to throw away  "
"790","Will  Modi say  Nehru is the reason behind their loose                justasking   ModiDestroysRBI   Elections2018  "
"791"," MurderOfDemocraticInstitution  MODI utter failed against people power    Do the same in upcoming LS  "
"792","    kept his patience  he know arrogance of  Modi one or other day will fall"
"793","  congress winning  I am waiting what will  Modi  shah say now on TV  I am guessing he will take a fligh  "
"794","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"795","    Modi ji will credit 15 lahk on every indian account  All black money will be vanished  All black money fro "
"796","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"797","  Modi looks nervous ahead of  GeneralElection2019"
"798","   There was a time before 2014  when i was rooting for  Modi in a hope that he will  "
"799","    Modi ji work for your Dharma"
